Qty,designator,footprint,comment,LCSC Part#
5,"C1,C4,C5,C16,C17",CAP-0805,33NF 50V 0805,C1739
9,"C2,C3,C6,C9,C10,C11,C12,C20,C24",CAP-0805,100NF 50V 0805,C49678
2,"C14,C15",CAP-0805,1UF 50V 0805 ROHS,C28323
4,"C7, C8,C19,C27",CAP-0805,10UF 25V 0805,C15850
2,"C22,C25",CAP-0805,"22uF, 0805, 25V",C45783
1,C29,CAP-0603,"4.7pF, ceramic, 50V",C1669
1,R46,0805_R,0OHMS ±1% 1/8W 0805,C17477
8,"R4,R26,R27,R28,R37,R38,R43,R44",0805_R,100OHMS ±1% 1/8W 0805 ROHS,C17408
4,"R3,R23,R24,R45",0805_R,1KOHMS ±1% 1/8W 0805 ROHS,C17513
2,"R5,R12",0805_R,2KOHMS ±1% 1/8W 0805 ROHS,C17604
1,R49,0805_R,365K,C17647
1,R50,0805_R,49.9K,C17719
1,R51,0805_R,100K,C17407
32,"R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R25,R29,R30,R31,R32,R33,R34,R35,R36,R39,R40,R41,R42,R47,R48,R52",0805_R,10KOHMS ±1% 1/8W 0805 ROHS,C17414
1,C21,SMD-ECAP-10x10,330UF ±20% 35V 10x10mm panasonic G,C134522
2,"C18,C28",CAP-0805,470NF 50V 0805,C13967
1,INDUCT,6.6mmx7.3mm,"3.3uF, 6.5amps",C280586
1,ADC1,HTSSOP-16_EP_4.4x5.0x0.65P," (ADCS) 12 1M 8 SPI,DSP 2.7V~5.25V",C179666
1,Q2,SOT-23,NPN 500MA 25V SOT-23(SOT-23-3) ROHS,C2146
1,Q1,SOT23,P-ch mosfet,C15127
4,"D1,D2,D4,D5",LED-1206,"red led, FV1.8V 20ma",C88326
1,REF1,SOT23-3,VOLTAGE REFERENCES 4.096V,C19415
5,"P1,P2,P3,P4,P5",LGA-8-2.5X2.0,SPL006-007 – Pressure humidity sensors,C233787
1,TPS,SOIC-8_EP_150mil,18V 5A SOIC-8_EP_150mil DC-DC,C138716
2,"U6, U7",TSSOP-24_4.4x7.8x0.65P,TCA9548AP – i2c multiplexer,C21198
,,,,
4,airflow connectors,4-dip,4 pin connector for automotive sensor connection,C7245
4,airflow connectors,4 pin,4 pin female connector,C26370
4,sensirion flow sensor cable,3 pin,3 pin female connector,C8413
4,sensirion flow sensor board mount,3 pin,3 pin male connector board mount,C409116
1,female raspberry pi connector,40 pin,,C50982
1,male raspberry pi connector,40 pin,,C221057
