Qty,designator,footprint,comment,LCSC Part#
1,C15,CAP-0603,4.7PF 50V 0603,"C1669	"
13,"C2,C6,C17,C26,C28,C30,C4,C7,C13,C20,C21,C22,C29",,100NF 50V 0805,C49678
2,"C3,C5",CAP-0805,1UF 50V 0805 ROHS,C28323
5,"C1,C8,C10,C11,C12",CAP-0805,33NF 50V 0805,C1739
2,"C14, C16",CAP-0805,470NF 50V 0805,C13967
1,"C23, C24",CAP-1206,22UF 35V 1206,C5672
4,"C27,C9,C18,C19",CAP-0805,10UF 25V 0805,C15850
1,C25,SMD-ECAP-10x10,330UF ±20% 35V 10x10mm panasonic G,C134522
4,"D1,D2,D3,D4",LED-1206,"red led, FV1.8V 20ma",C88326
1,L1, 6.6x7.3mm,3.3uH 6.5A - 6.6x7.3mm,C280586
5,"P1,P2,P3,P4,P5",LGA-8-2.5X2.0,SPL006-007 – Pressure humidity sensors,C233787
1,R48,0805_R,0OHMS ±1% 1/8W 0805,C17477
8,"R1,R17,R2,R24,R25,R29,R3,R8",0805_R,100OHMS ±1% 1/8W 0805 ROHS,C17408
8,"R30,R39,R44,R45,R49,R54,R57,R58",0805_R,470OHMS ±1% 1/8W 0805 ROHS,"C17710	"
1,R32,0805_R,100KOHMS ±1% 1/8W 0805 ROHS,"C17407	"
14,"R12,R13,R16,R18,R19,R22,R23,R26,R31,R35,R46,R47,R50,R51",0805_R,10KOHMS ±1% 1/8W 0805 ROHS,C17414
4,"R36,R53,R55,R56",0805_R,1KOHMS ±1% 1/8W 0805 ROHS,C17513
2,"R11,R52",0805_R,2KOHMS ±1% 1/8W 0805 ROHS,C17604
1,R28,0805_R,365K ±1% 1/8W 0805 ROHS,C17647
18,"R10,R14,R15,R20,R21,R33,R34,R37,R38,R4,R40,R41,R42,R43,R5,R6,R7,R9",0805_R,3K ±1% 1/8W 0805 ROHS,"C17661	"
1,R27,0805_R,49.9K ±1% 1/8W 0805 ROHS,"C17719	"
1,Q1,SOT-23,NPN 500MA 25V SOT-23(SOT-23-3) ROHS,C2146
1,Q2,SOT-23,,C15127
1,U1,HTSSOP-16_EP_4.4x5.0x0.65P," (ADCS) 12 1M 8 SPI,DSP 2.7V~5.25V",C179666
2,"U2, U7",TSSOP-24_4.4x7.8x0.65P,TCA9548AP – i2c multiplexer,C21198
1,U3,SOT23-3,VOLTAGE REFERENCES 4.096V,C19415
1,U4,SOIC8_POWER,TPS56528,C138716
