Designator,Value,Manufacturer,Manufacturer's Part #,Package,Vendor Part #,Digikey #,Price Each,Price Per Board,Cost/batch
THRU HOLE COMPONENTS,,,,,,,,,
,,,,,,,,,
"J5,J6,J8,J10",Screw Terminal Receiver,Phoenix Contact,1844236,,,277-2419-ND, $1.86 ,,
"J5,J6,J8,J10",Screw Terminal Block,Phoenix Contact,1840382,,,277-2418-ND, $5.26 ,,
J9,2 pin power,Phoenix Contact,1935776,,,277-6405-ND, $0.49 ,,
J11,DC Power Jack,CUI,PJ-202A,,,CP-202A-ND, $0.60 ,,
RPI2,40 pin recptecle,TE,2-534998-0,,,A26498-ND, $7.75 ,,
,,,,,,,,,
,,,,,,,,,
DO NOT POPULATE,,,,,,,,,
"J1,J2,J3,J4",NP,,,,,,,,
J7,NP,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Placement,,,,,,,,,
,,,,,,,,,
Part,Value,Package,Library,Position (mil),Orientation,,,,
J1,NP (277-2415-ND),SCREWTERMINAL-3.5MM-3,SparkFun-Connectors,(-1050 2100),R270,,,,
J2,NP (277-2415-ND),SCREWTERMINAL-3.5MM-3,SparkFun-Connectors,(-1050 1550),R270,,,,
J3,NP (277-2415-ND),SCREWTERMINAL-3.5MM-3,SparkFun-Connectors,(-1050 1000),R270,,,,
J4,NP (277-2415-ND),SCREWTERMINAL-3.5MM-3,SparkFun-Connectors,(-1050 450),R270,,,,
J5,277-2419-ND,1X04_3.5MM_RA,th_libraries,(-1050 -100),R270,,,,
J6,277-2419-ND,1X04_3.5MM_RA,th_libraries,(-1050 -800),R270,,,,
J7,NP (732-5315-ND),1X02,SparkFun-Connectors,(100 -1250),R0,,,,
J8,277-2419-ND,1X04_3.5MM_RA,th_libraries,(-1050 -1500),R270,,,,
J9,732-5315-ND,SCREWTERMINAL-5MM-2,SparkFun-Connectors,(-595 -2050),R0,,,,
J10,277-2419-ND,1X04_3.5MM_RA,th_libraries,(-1050 -2200),R270,,,,
J11,POWER_JACK,POWER_JACK_PTH,SparkFun-Connectors,(1500 -2350),R0,,,,
RPI3B+,MICROBUILDER_RASPBERRYPI_BPLUS_HATSLOTS,MICROBUILDER_PI_HAT_SLOTS,pi_hat_with_ground_pin,(1900 -1350),R90,,,,
TP1,CONN_0138MILL,1X01-40MILL,th_libraries3,(-50 -1600),R90,,,,
TP2,CONN_0138MILL,1X01-40MILL,th_libraries3,(-50 -1700),R180,,,,
TP3,CONN_0138MILL,1X01-40MILL,th_libraries3,(-50 -1800),R90,,,,
TP4,CONN_0138MILL,1X01-40MILL,th_libraries3,(-50 -1900),R90,,,,
TP5,CONN_0138MILL,1X01-40MILL,th_libraries3,(-50 -2000),R0,,,,
