designator,Mid X,Mid Y,Layer,rotation
C1,-12.19,50.04,Top,90
C2,-12.83,45.47,Top,0
C3,-12.83,42.42,Top,0
C4,64.77,36.58,Top,0
C5,-15.75,30.61,Top,270
C6,-11.43,30.48,Top,270
C7,38.1,27.94,Top,270
C8,-11.43,25.4,Top,90
C9,34.67,22.86,Top,0
C10,-11.43,21.46,Top,90
C11,-11.43,17.27,Top,270
C12,-11.43,13.21,Top,90
C13,64.77,11.18,Top,0
C14,-11.18,4.95,Top,270
C15,25.91,0.25,Top,90
C16,17.14,-3.68,Top,90
C17,-19.56,-4.83,Top,0
C18,27.94,-11.43,Top,0
C19,27.94,-13.97,Top,0
C20,64.9,-14.22,Top,0
C21,24.13,-16.51,Top,180
C22,27.94,-16.51,Top,0
C23,11.43,-20.32,Top,90
C24,13.72,-20.32,Top,90
C25,34.29,-21.59,Top,180
C26,-20.32,-24,Top,0
C27,-12.7,-37.59,Top,180
C28,-19.56,-38.61,Top,0
C29,64.77,-39.5,Top,0
C30,-20.4,-59.44,Top,0
D1,2.54,-40.77,Top,180
D2,2.54,-43.18,Top,180
D3,2.54,-48.26,Top,180
D4,2.54,-50.8,Top,180
L1,19.07,-20.3,Top,270
P1,64.77,39.24,Top,90
P2,35.56,27.94,Top,180
P3,64.9,13.84,Top,90
P4,64.9,-11.56,Top,90
P5,64.77,-36.96,Top,90
Q1,50.8,-8.84,Top,270
Q2,45.97,-9.35,Top,270
R1,-16.38,50.04,Top,270
R2,-15.75,25.53,Top,90
R3,-15.75,21.59,Top,90
R4,40.64,21.59,Top,270
R5,45.09,21.59,Top,270
R6,40.64,17.78,Top,270
R7,45.09,17.78,Top,270
R8,-15.75,17.4,Top,270
R9,40.64,13.97,Top,270
R10,45.09,13.97,Top,270
R11,-15.62,13.21,Top,90
R12,30.35,11.43,Top,270
R13,34.67,11.43,Top,270
R14,40.64,10.16,Top,270
R15,45.09,10.16,Top,270
R16,-15.62,8.76,Top,90
R17,-11.05,8.76,Top,90
R18,33.53,6.35,Top,270
R19,37.72,6.35,Top,90
R20,40.64,6.35,Top,270
R21,45.09,6.35,Top,270
R22,1.27,2.54,Top,90
R23,4.32,2.54,Top,90
R24,-10.41,1.27,Top,0
R25,-10.41,-1.65,Top,0
R26,30.48,-3.43,Top,270
R27,21.46,-3.56,Top,90
R28,25.91,-3.56,Top,90
R29,-10.41,-4.57,Top,0
R30,-22.73,-4.83,Top,0
R31,48.26,-6.35,Top,180
R32,17.14,-7.49,Top,90
R33,-14.35,-10.03,Top,90
R34,-10.29,-10.03,Top,90
R35,50.8,-11.43,Top,180
R36,41.27,-11.81,Top,180
R37,-14.35,-14.61,Top,90
R38,-10.16,-14.61,Top,90
R39,-23.62,-15.11,Top,0
R40,-10.29,-18.8,Top,90
R41,-14.35,-18.92,Top,90
R42,-14.35,-23.11,Top,90
R43,-10.16,-23.24,Top,90
R44,-23.5,-24,Top,0
R45,-23.62,-34.42,Top,0
R46,-5.84,-36.32,Top,90
R47,-1.4,-36.32,Top,90
R48,3.56,-36.58,Top,0
R49,-23.11,-39.5,Top,0
R50,-13.59,-40.51,Top,180
R51,-8.64,-40.64,Top,0
R52,7.49,-40.77,Top,180
R53,7.62,-43.18,Top,180
R54,-23.24,-47.88,Top,0
R55,7.62,-48.26,Top,180
R56,7.62,-50.93,Top,180
R57,-23.5,-59.44,Top,0
R58,-24.64,-68.71,Top,0
R59,3.43,-28.58,Top,0
U1,-15.16,37.24,Top,180
U2,34.29,17.78,Top,90
U3,-16.38,4.78,Top,90
U4,22.86,-10.5,Top,180
U5,-19.81,-10.29,Top,90
U6,-20.83,-29.59,Top,90
U7,-12.95,-32.26,Top,270
U8,-18.92,-43.56,Top,90
U9,-20.07,-64.39,Top,90
